Date,Open,High,Low,Close,Volume,Adj Close
30/08/16,2179.449951,2182.27002,2170.409912,2176.120117,3006800000,2176.120117
29/08/16,2170.189941,2183.47998,2170.189941,2180.379883,2654780000,2180.379883
26/08/16,2175.100098,2187.939941,2160.389893,2169.040039,3342340000,2169.040039
25/08/16,2173.290039,2179,2169.73999,2172.469971,2969310000,2172.469971
24/08/16,2185.090088,2186.659912,2171.25,2175.439941,3148280000,2175.439941
23/08/16,2187.810059,2193.419922,2186.800049,2186.899902,3041490000,2186.899902
22/08/16,2181.580078,2185.149902,2175.959961,2182.639893,2777550000,2182.639893
19/08/16,2184.23999,2185,2175.129883,2183.870117,3084800000,2183.870117
18/08/16,2181.899902,2187.030029,2180.459961,2187.02002,3300570000,2187.02002
17/08/16,2177.840088,2183.080078,2168.5,2182.219971,3388910000,2182.219971
16/08/16,2186.23999,2186.23999,2178.139893,2178.149902,3196400000,2178.149902
15/08/16,2186.080078,2193.810059,2186.080078,2190.149902,3078530000,2190.149902
12/08/16,2183.73999,2186.280029,2179.419922,2184.050049,3000660000,2184.050049
11/08/16,2177.969971,2188.449951,2177.969971,2185.790039,3423160000,2185.790039
10/08/16,2182.810059,2183.409912,2172,2175.48999,3254950000,2175.48999
09/08/16,2182.23999,2187.659912,2178.610107,2181.73999,3334300000,2181.73999
08/08/16,2183.76001,2185.439941,2177.850098,2180.889893,3327550000,2180.889893
05/08/16,2168.790039,2182.870117,2168.790039,2182.870117,3663070000,2182.870117
04/08/16,2163.51001,2168.189941,2159.070068,2164.25,3709200000,2164.25
03/08/16,2156.810059,2163.790039,2152.560059,2163.790039,3786530000,2163.790039
02/08/16,2169.939941,2170.199951,2147.580078,2157.030029,3848750000,2157.030029
01/08/16,2173.149902,2178.290039,2166.209961,2170.840088,3505990000,2170.840088
